starting slam
[INFO] [1746827972.088807]: [run_auto] Mapping - drive the vehicle, Ctrl-C when done …
act:  [6.617853008601973, 0.22548072320673018, -4.995]
est:  [5.742660134976704, 2.564877151536754, 1.0036288178598483]
act:  [6.681068055892304, 0.16557364686276932, -4.957]
est:  [5.784663621477161, 2.633916461293694, 1.024223550817568]
act:  [6.741717721310294, 0.10411131624729486, -4.923]
est:  [5.814821902199759, 2.686184740735868, 1.047467706718757]
act:  [6.799802004855943, 0.04109373136030747, -4.896]
est:  [5.867127362100639, 2.7795056374799465, 1.0599348135173057]
act:  [6.857731288091543, -0.025526071580031173, -4.877]
est:  [5.9199027914386875, 2.8779829100353123, 1.0788313508912295]
act:  [6.916178989417649, -0.09300100181115023, -4.853]
est:  [5.9790906144667675, 2.992680328123682, 1.094403569442315]
act:  [6.9834397982823315, -0.17501309598553805, -4.822]
est:  [5.9825871720121135, 3.0000072492318113, 1.125537755761475]
act:  [7.036238317773249, -0.24474340746890366, -4.782]
est:  [5.988907690606054, 3.013707940930184, 1.1385617128424703]
act:  [7.086834873172283, -0.32048631856791365, -4.7379999999999995]
est:  [5.995415627985629, 3.0288196873455426, 1.1641462678112398]
act:  [7.144897699308788, -0.4162605751353332, -4.683999999999999]
est:  [6.033447450092492, 3.128339955149046, 1.2057706149491263]
act:  [7.195756089338592, -0.5117248310826579, -4.634]
est:  [6.076445032102363, 3.2533966569545947, 1.2396334526327026]
act:  [7.237983080720049, -0.5948805957587786, -4.5969999999999995]
est:  [6.078169617012169, 3.259653926742818, 1.3018603023004935]
act:  [7.272460509324118, -0.6710403417986082, -4.567]
est:  [6.081036587136878, 3.2723238174401463, 1.3482618499145556]
act:  [7.303699137655295, -0.7515024328725208, -4.518]
est:  [6.095658108987342, 3.3545084218269143, 1.3947278383873767]
act:  [7.33239909269431, -0.8393506689433636, -4.46]
est:  [6.103939834633069, 3.4302428415023516, 1.4618768972191194]
act:  [7.355449865898137, -0.9294542862664525, -4.399]
est:  [6.109258479401497, 3.515414552553961, 1.5084311653477163]
act:  [7.36974094872375, -1.0166825210971053, -4.343]
est:  [6.109299335753862, 3.6083238884452613, 1.5703565825072145]
act:  [7.38247677727785, -1.1013453740554164, -4.287]
est:  [6.10470149279224, 3.6887560453400807, 1.627898420469709]
act:  [7.387489751634743, -1.1848430991028518, -4.234]
est:  [6.099884100973389, 3.73987075054176, 1.6647654486211978]
act:  [7.388873799358105, -1.2623549331148234, -4.186999999999999]
est:  [6.079506277208285, 3.9100270442632468, 1.689988108586402]
act:  [7.386372336988202, -1.352747093648865, -4.133]
est:  [6.046501170083724, 4.090107180971572, 1.7520646073478023]
act:  [7.379750238474444, -1.4421291265820788, -4.072]
est:  [6.00596996510801, 4.249669216435254, 1.8195505500853937]
act:  [7.366933831454814, -1.5270805227513422, -4.013]
est:  [5.965235479802294, 4.384122350713206, 1.8649703407853053]
act:  [7.351707042872889, -1.6099849551387686, -3.9619999999999997]
est:  [5.921821244531018, 4.505287626218508, 1.9148513798968796]
act:  [7.332541327037337, -1.6941079325974324, -3.919]
est:  [5.904646356865091, 4.547371844684168, 1.958272380449]
act:  [7.307908138256826, -1.7827149639804085, -3.8739999999999997]
est:  [5.856465427898387, 4.650531692541559, 2.0077391924368473]
act:  [7.27811747715145, -1.8686016131809955, -3.8179999999999996]
est:  [5.794941383366346, 4.763190201478318, 2.070648794744314]
act:  [7.2436877618117155, -1.952623007489974, -3.7569999999999997]
est:  [5.735493563885363, 4.857248019709385, 2.1344384272537362]
act:  [7.201043482764451, -2.0404550373227126, -3.691]
est:  [5.62247707963074, 5.0198527265504165, 2.1781844620071347]
act:  [7.158345786556825, -2.1166252857046186, -3.6399999999999997]
est:  [5.497531157776181, 5.1776715178090065, 2.240458819933669]
act:  [7.111527454205344, -2.191785406485696, -3.5789999999999997]
est:  [5.480379356813745, 5.196732281026542, 2.3035277719965217]
act:  [7.058696522238218, -2.26474356317489, -3.521]
est:  [5.367055890369779, 5.311579758472601, 2.349515338528868]
act:  [7.001899954437285, -2.333089374209905, -3.466]
est:  [5.27744207383638, 5.394568003580114, 2.394562050480361]
act:  [6.9447399688558935, -2.3969778399007886, -3.4059999999999997]
est:  [5.141877075779908, 5.5099705059091875, 2.436361381142005]
act:  [6.884469474731476, -2.4557355418469893, -3.35]
est:  [5.03943882926632, 5.588428640695792, 2.4879887682717334]
act:  [6.818186380991413, -2.512291279701305, -3.293]
est:  [4.875763885435644, 5.707590510058674, 2.5122948591913428]
act:  [6.745035560344926, -2.567163471554241, -3.227]
est:  [4.6944668491929, 5.813444772000905, 2.6131163976005793]
act:  [6.6495980129777825, -2.6238527523094617, -3.142]
est:  [4.613807540762772, 5.852468821771389, 2.690978019971124]
act:  [6.573464975518133, -2.664161071638947, -3.074]
est:  [4.523061513551795, 5.888487891068841, 2.7637427788122166]
act:  [6.49953390215037, -2.6984567913527884, -3.005]
est:  [4.435459032400986, 5.918316478133888, 2.8134066167203438]
act:  [6.4194085202767335, -2.7283218743026794, -2.937]
est:  [4.333328058887898, 5.945215074229942, 2.8840672701900862]
act:  [6.327567939791902, -2.7465785929621, -2.862]
est:  [4.217364770998765, 5.97083610211412, 2.9241451068667352]
act:  [6.2599060494995165, -2.764210059210292, -2.804]
est:  [4.179011921632995, 5.976338917581877, 2.9990865643966593]
act:  [6.154175014891788, -2.782701903920303, -2.717]
est:  [4.064735593252472, 5.9871804328476, 3.0470047057691745]
act:  [6.069303744463067, -2.7873781690769204, -2.648]
est:  [4.034781456374564, 5.988394552379882, 3.101082212498343]
act:  [5.9816586746915945, -2.78555012510757, -2.589]
est:  [3.9212143571314533, 5.988763423423721, 3.138344620056013]
act:  [5.88613575041287, -2.786159171280694, -2.534]
est:  [3.8196081735206864, 5.985431072864476, 3.1743776320654087]
act:  [5.815411517566781, -2.7717340928291874, -2.501]
est:  [3.8176329040878647, 5.9852991104385636, 3.208300831320449]
act:  [5.7267296116143, -2.7681957942782756, -2.4539999999999997]
est:  [3.807687767278361, 5.984155521486846, 3.2560795796411854]
act:  [5.642916634775731, -2.7418256423360226, -2.406]
est:  [3.59058236304941, 5.956553946582969, 3.268048699713046]
act:  [5.558328656386925, -2.733466580660523, -2.372]
est:  [3.5785700793621804, 5.954501691622024, 3.3108052841977855]
act:  [5.471148587545596, -2.72083188253112, -2.363]
est:  [3.55218449548051, 5.950077192106152, 3.3077331900530296]
act:  [5.382696556472667, -2.6925964756972585, -2.363]
est:  [3.515147985744294, 5.943979221603971, 3.3047761418652133]
act:  [5.304767887519876, -2.677861396625657, -2.364]
est:  [3.414397806946623, 5.9279700035893725, 3.2991753305780325]
act:  [5.236972454326585, -2.6663384092467677, -2.368]
est:  [3.3120631588976175, 5.912581832768583, 3.2908454888995142]
act:  [5.136912058963187, -2.6498182010241003, -2.378]
est:  [3.2189461328135605, 5.901336368567598, 3.2617776261543545]
